Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2003M,,,Name:,SpdCoach 2669346,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/20/2026 17:05:57,,,Model:,---,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,---,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,---,,,,,,,Inboard Length:,---
,,,,Hardware Version:,---,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2003.6,0.0,00:09:49.1,00:02:27.0,3.40,00:00:00.0,0.00,19.5,175,11.4,0.0,---,---,---,---,---,---,---,---,---,---,40.1349004,-82.8789964


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2003.6,0.0,00:09:49.1,00:02:27.0,3.40,00:00:00.0,0.00,19.5,175,11.4,0.0,---,---,---,---,---,---,---,---,---,---,40.1349004,-82.8789964



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.2,0.0,00:00:02.2,00:29:45.7,0.28,00:00:00.0,0.00,27.0,1,1.2,0.0,---,---,---,---,---,---,---,---,---,---,40.1349004,-82.8789964
1,2.8,0.0,00:00:03.2,00:06:15.9,1.33,00:00:00.0,0.00,39.5,2,1.6,0.0,---,---,---,---,---,---,---,---,---,---,40.1349147,-82.8789966
1,11.4,0.0,00:00:06.6,00:03:44.2,2.23,00:00:00.0,0.00,18.0,3,8.5,0.0,---,---,---,---,---,---,---,---,---,---,40.1349909,-82.8789837
1,36.0,0.0,00:00:15.9,00:03:26.6,2.42,00:00:00.0,0.00,34.5,4,24.6,0.0,---,---,---,---,---,---,---,---,---,---,40.1353340,-82.8788481
1,38.9,0.0,00:00:16.9,00:03:23.2,2.46,00:00:00.0,0.00,38.0,5,2.9,0.0,---,---,---,---,---,---,---,---,---,---,40.1353593,-82.8788395
1,50.1,0.0,00:00:20.3,00:02:46.1,3.01,00:00:00.0,0.00,19.0,6,11.2,0.0,---,---,---,---,---,---,---,---,---,---,40.1354541,-82.8787960
1,61.7,0.0,00:00:23.5,00:02:31.0,3.31,00:00:00.0,0.00,19.0,7,11.6,0.0,---,---,---,---,---,---,---,---,---,---,40.1355490,-82.8787401
1,73.8,0.0,00:00:26.7,00:02:19.6,3.58,00:00:00.0,0.00,19.0,8,12.1,0.0,---,---,---,---,---,---,---,---,---,---,40.1356499,-82.8786873
1,85.0,0.0,00:00:29.7,00:02:12.6,3.77,00:00:00.0,0.00,20.0,9,11.2,0.0,---,---,---,---,---,---,---,---,---,---,40.1357432,-82.8786375
1,96.3,0.0,00:00:32.7,00:02:10.8,3.82,00:00:00.0,0.00,19.0,10,11.3,0.0,---,---,---,---,---,---,---,---,---,---,40.1358399,-82.8785976
1,108.5,0.0,00:00:35.9,00:02:11.5,3.80,00:00:00.0,0.00,19.5,11,12.2,0.0,---,---,---,---,---,---,---,---,---,---,40.1359454,-82.8785579
1,119.4,0.0,00:00:38.9,00:02:12.9,3.76,00:00:00.0,0.00,19.5,12,10.9,0.0,---,---,---,---,---,---,---,---,---,---,40.1360408,-82.8785298
1,130.9,0.0,00:00:42.1,00:02:16.2,3.67,00:00:00.0,0.00,20.0,13,11.6,0.0,---,---,---,---,---,---,---,---,---,---,40.1361429,-82.8785050
1,142.2,0.0,00:00:45.1,00:02:17.3,3.64,00:00:00.0,0.00,19.5,14,11.2,0.0,---,---,---,---,---,---,---,---,---,---,40.1362428,-82.8784863
1,152.8,0.0,00:00:48.1,00:02:16.6,3.66,00:00:00.0,0.00,19.5,15,10.6,0.0,---,---,---,---,---,---,---,---,---,---,40.1363367,-82.8784654
1,164.6,0.0,00:00:51.3,00:02:16.2,3.67,00:00:00.0,0.00,19.5,16,11.8,0.0,---,---,---,---,---,---,---,---,---,---,40.1364399,-82.8784325
1,175.7,0.0,00:00:54.3,00:02:15.5,3.69,00:00:00.0,0.00,19.0,17,11.1,0.0,---,---,---,---,---,---,---,---,---,---,40.1365348,-82.8783928
1,186.7,0.0,00:00:57.5,00:02:16.6,3.66,00:00:00.0,0.00,19.5,18,11.1,0.0,---,---,---,---,---,---,---,---,---,---,40.1366309,-82.8783602
1,198.3,0.0,00:01:00.5,00:02:15.5,3.69,00:00:00.0,0.00,20.0,19,11.5,0.0,---,---,---,---,---,---,---,---,---,---,40.1367313,-82.8783272
1,210.6,0.0,00:01:03.7,00:02:11.2,3.81,00:00:00.0,0.00,19.0,20,12.3,0.0,---,---,---,---,---,---,---,---,---,---,40.1368390,-82.8782927
1,221.6,0.0,00:01:06.7,00:02:12.2,3.78,00:00:00.0,0.00,19.0,21,11.0,0.0,---,---,---,---,---,---,---,---,---,---,40.1369344,-82.8782576
1,233.6,0.0,00:01:10.1,00:02:16.6,3.66,00:00:00.0,0.00,18.5,22,11.9,0.0,---,---,---,---,---,---,---,---,---,---,40.1370384,-82.8782233
1,245.4,0.0,00:01:13.5,00:02:19.2,3.59,00:00:00.0,0.00,18.5,23,11.8,0.0,---,---,---,---,---,---,---,---,---,---,40.1371408,-82.8781855
1,256.8,0.0,00:01:16.5,00:02:19.2,3.59,00:00:00.0,0.00,18.5,24,11.3,0.0,---,---,---,---,---,---,---,---,---,---,40.1372392,-82.8781506
1,268.7,0.0,00:01:19.8,00:02:18.1,3.62,00:00:00.0,0.00,18.5,25,12.0,0.0,---,---,---,---,---,---,---,---,---,---,40.1373437,-82.8781175
1,280.6,0.0,00:01:22.9,00:02:16.2,3.67,00:00:00.0,0.00,19.0,26,11.9,0.0,---,---,---,---,---,---,---,---,---,---,40.1374471,-82.8780826
