StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
1,2.3,1.7,0.43,25.5,1.7,2.3529411764705883,,,,,,0.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
2,3.3,3.8,1.4,38.0,2.1,1.5789473684210527,0.97,,,,,1.0,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
3,6.9,12.9,2.25,17.5,9.0,3.4285714285714284,0.8500000000000001,,,,,3.6000000000000005,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
4,10.1,23.0,2.72,18.5,10.1,3.2432432432432434,0.4700000000000002,,,,,3.1999999999999993,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
5,13.5,33.9,3.2,19.5,11.0,3.076923076923077,0.48,2.0,6.779999999999999,23.8,1.100658893572391,3.4000000000000004,True,1,Rowing segment,0.40793368857312023,0.31445904954499504,0.15815085158150852,False,False,0.0,0.0,0.0,20.92457420924575,0.0,3.1
6,16.5,44.6,3.44,20.0,10.7,3.0,0.23999999999999977,2.24,7.433333333333334,23.166666666666668,1.146629844370013,3.0,True,1,Rowing segment,0.3368857312018946,0.2483990562858106,0.12733171127331713,False,False,0.0,0.0,0.0,36.33414436334144,0.0,5.5
7,19.5,55.4,3.54,19.5,10.7,3.076923076923077,0.10000000000000009,2.4257142857142857,7.8999999999999995,22.642857142857142,1.15631393002156,3.0,True,1,Rowing segment,0.28190814514082724,0.20121334681496472,0.10184219673270761,False,False,0.0,0.0,0.0,49.0789016336462,0.0,7.4
8,22.5,66.1,3.58,20.0,10.7,3.0,0.040000000000000036,2.5700000000000003,8.25,22.3125,1.1456875664857327,3.0,True,1,Rowing segment,0.2391947898164594,0.16582406471183017,0.0857664233576642,False,False,0.0,0.0,17.087967644084877,57.11678832116791,0.0,14.5
9,25.5,76.9,3.6,20.0,10.8,3.0,0.020000000000000018,2.6844444444444444,8.533333333333333,22.055555555555557,1.1253456259202226,3.0,True,1,Rowing segment,0.20531543977369915,0.137175598247388,0.07326304406596382,False,False,0.0,0.0,31.412200876305974,63.3684779670181,0.0,20.5
10,28.5,87.7,3.62,19.5,10.8,3.076923076923077,0.020000000000000018,2.778,8.76,21.8,1.1014616551554475,3.0,True,1,Rowing segment,0.17761989342806397,0.11425682507583425,0.0608272506082725,False,False,0.0,11.190053285968004,42.87158746208286,69.58637469586375,0.0,29.4
11,31.6,98.4,3.61,20.5,10.7,2.926829268292683,-0.010000000000000231,3.096,9.66,21.3,0.7518008010400392,3.1000000000000014,True,1,Rowing segment,0.08348134991119006,0.023255813953488413,0.0364963503649635,False,False,0.0,58.25932504440495,88.37209302325577,81.75182481751825,0.0,63.6
12,34.5,109.0,3.59,20.0,10.6,3.0,-0.020000000000000018,3.3150000000000004,10.51,19.5,0.46843118787904997,2.8999999999999986,True,1,Rowing segment,0.018650088809946633,-0.06268958543983814,0.05109489051094894,False,False,0.0,90.67495559502663,100.0,74.45255474452553,0.0,77.9
13,37.6,119.9,3.57,20.0,10.8,3.0,-0.020000000000000018,3.447,10.690000000000001,19.75,0.28507503885429514,3.1000000000000014,True,1,Rowing segment,-0.020426287744227337,-0.08088978766430745,0.03892944038929444,False,False,0.0,100.0,100.0,80.53527980535277,0.0,82.1
14,40.5,130.5,3.57,20.0,10.6,3.0,0.0,3.532,10.739999999999998,19.9,0.12726175998922756,2.8999999999999986,True,1,Rowing segment,-0.04558910597986972,-0.08594539939332638,0.0316301703163018,False,False,0.0,100.0,100.0,84.1849148418491,21.18304877976762,85.8
15,43.5,141.3,3.58,20.0,10.8,3.0,0.010000000000000231,3.5699999999999994,10.719999999999999,19.95,0.05099019513593027,3.0,True,1,Rowing segment,-0.05683836589698025,-0.08392315470171872,0.02919708029197087,False,False,0.0,100.0,100.0,85.40145985401458,98.38668363464987,97.6
16,46.5,152.0,3.57,20.0,10.8,3.0,-0.010000000000000231,3.5829999999999997,10.73,19.95,0.023118054512538337,3.0,True,1,Rowing segment,-0.060686796921255066,-0.08493427704752272,0.02919708029197087,False,False,0.0,100.0,100.0,85.40145985401458,100.0,97.8
17,49.5,162.6,3.57,19.5,10.6,3.076923076923077,0.0,3.586,10.72,19.95,0.018378731669460493,3.0,True,1,Rowing segment,-0.061574896388395424,-0.0839231547017189,0.02919708029197087,False,False,0.0,100.0,100.0,85.40145985401458,100.0,97.8
18,52.5,173.3,3.57,20.0,10.6,3.0,0.0,3.585,10.709999999999999,19.95,0.019002923751658927,3.0,True,1,Rowing segment,-0.061278863232682015,-0.0829120323559149,0.02919708029197087,False,False,0.0,100.0,100.0,85.40145985401458,100.0,97.8
19,55.5,184.2,3.6,20.5,10.9,2.926829268292683,0.03000000000000025,3.585,10.72,20.0,0.019002923751658927,3.0,True,1,Rowing segment,-0.061278863232682015,-0.0839231547017189,0.026763990267639936,False,False,0.0,100.0,100.0,86.61800486618003,100.0,98.0
20,58.5,195.1,3.64,20.5,10.9,2.926829268292683,0.040000000000000036,3.5870000000000006,10.73,20.1,0.023593784492253952,3.0,True,1,Rowing segment,-0.06187092954410909,-0.08493427704752272,0.02189781021897807,False,False,0.0,100.0,100.0,89.05109489051097,100.0,98.4
21,61.5,205.8,3.64,20.0,10.8,3.0,0.0,3.5900000000000007,10.74,20.05,0.02828427124746653,3.0,True,1,Rowing segment,-0.06275902901124944,-0.08594539939332656,0.024330900243309,False,False,0.0,100.0,100.0,87.8345498783455,100.0,98.2
22,64.5,216.5,3.6,20.5,10.7,2.926829268292683,-0.040000000000000036,3.5909999999999997,10.750000000000002,20.1,0.028460498941520043,3.0,True,1,Rowing segment,-0.06305506216696259,-0.08695652173913056,0.02189781021897807,False,False,0.0,100.0,100.0,89.05109489051097,100.0,98.4
23,67.1,226.6,3.55,21.0,10.1,2.857142857142857,-0.050000000000000266,3.589,10.68,20.2,0.03071373199944274,2.5999999999999943,True,1,Rowing segment,-0.062462995855535774,-0.07987866531850345,0.01703163017031637,False,False,0.0,100.0,100.0,91.48418491484182,100.0,98.7
24,69.9,236.4,3.48,21.0,9.8,2.857142857142857,-0.06999999999999984,3.5799999999999996,10.6,20.3,0.0461880215351727,2.8000000000000114,True,1,Rowing segment,-0.059798697454114716,-0.0717896865520727,0.0121654501216545,False,False,0.0,100.0,100.0,93.91727493917274,100.0,99.1
25,72.9,246.8,3.43,20.5,10.4,2.926829268292683,-0.04999999999999982,3.565,10.56,20.35,0.06620674688680567,3.0,True,1,Rowing segment,-0.05535820011841321,-0.06774519716885742,0.009732360097323567,False,False,0.0,100.0,100.0,95.13381995133821,82.98417934114818,96.7
26,75.9,257.1,3.4,20.5,10.4,2.926829268292683,-0.03000000000000025,3.5480000000000005,10.52,20.4,0.08416914187779657,3.0,True,1,Rowing segment,-0.05032563647128489,-0.06370070778564196,0.007299270072992805,False,False,0.0,100.0,100.0,96.3503649635036,64.80227646986238,94.2
27,78.7,266.9,3.38,20.0,9.8,3.0,-0.020000000000000018,3.529,10.440000000000001,20.45,0.09882082551545371,2.799999999999997,True,1,Rowing segment,-0.04470100651272937,-0.055611729019211395,0.004866180048661869,False,False,0.0,100.0,100.0,97.56690997566906,49.971543211056904,92.1
28,81.7,277.3,3.37,20.5,10.4,2.926829268292683,-0.009999999999999787,3.5090000000000003,10.42,20.5,0.10928555866780156,3.0,True,1,Rowing segment,-0.0387803433984607,-0.05358948432760357,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,39.37892670054464,90.7
29,84.5,286.8,3.39,20.5,9.5,2.926829268292683,0.020000000000000018,3.4879999999999995,10.28,20.5,0.11003029885748197,2.799999999999997,True,1,Rowing segment,-0.03256364712847822,-0.039433771486349724,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,38.625085478374444,90.6
30,87.5,296.9,3.41,20.5,10.1,2.926829268292683,0.020000000000000018,3.465,10.2,20.5,0.09812124019690069,3.0,True,1,Rowing segment,-0.025754884547069194,-0.03134479271991898,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,50.67967775093803,92.4
31,90.5,306.7,3.37,20.5,9.7,2.926829268292683,-0.040000000000000036,3.438,10.09,20.55,0.08011103405759935,3.0,True,1,Rowing segment,-0.01776198934280641,-0.02022244691607677,0.0,False,False,0.0,100.0,100.0,100.0,68.90997604249942,95.3
32,93.3,316.1,3.31,20.5,9.4,2.926829268292683,-0.06000000000000005,3.4090000000000003,9.959999999999999,20.55,0.06624030327359479,2.799999999999997,True,1,Rowing segment,-0.009177027827116678,-0.007077856420626745,0.0,False,False,0.0,100.0,100.0,100.0,82.95021288146299,97.4
