StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
1,2.3,1.5,0.55,25.5,1.5,2.3529411764705883,,,,,,0.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
2,2.9,2.5,1.15,50.5,1.0,1.188118811881188,0.5999999999999999,,,,,0.6000000000000001,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
3,6.3,9.0,1.81,20.0,6.5,3.0,0.6600000000000001,,,,,3.4,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
4,9.3,17.3,2.32,20.0,8.3,3.0,0.5099999999999998,,,,,3.000000000000001,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
5,11.9,25.6,2.83,21.0,8.4,2.857142857142857,0.5100000000000002,1.732,5.140000000000001,27.4,0.907369825374417,2.5999999999999996,True,1,Rowing segment,0.48097093197482765,0.42569832402234625,0.2123893805309733,False,False,0.0,0.0,0.0,0.0,0.0,0.0
6,14.7,34.6,3.08,23.0,9.0,2.608695652173913,0.25,1.9566666666666668,5.783333333333334,26.666666666666668,0.9805644632897251,2.799999999999999,True,1,Rowing segment,0.41364499051043846,0.35381750465549333,0.1799410029498525,False,False,0.0,0.0,0.0,10.029498525073755,0.0,1.5
7,17.5,43.9,3.2,20.5,9.2,2.926829268292683,0.1200000000000001,2.1342857142857143,6.271428571428571,25.785714285714285,1.0109872591161762,2.8000000000000007,True,1,Rowing segment,0.3604178261055695,0.2992817238627294,0.1409608091024019,False,False,0.0,0.0,0.0,29.519595448799052,0.0,4.4
8,20.1,52.3,3.19,23.0,8.4,2.608695652173913,-0.010000000000000231,2.26625,6.5375,25.4375,1.007669695031916,2.6000000000000014,True,1,Rowing segment,0.3208720407551693,0.26955307262569833,0.12555309734513267,False,False,0.0,0.0,0.0,37.223451327433665,0.0,5.6
9,22.9,61.3,3.2,22.0,9.0,2.727272727272727,0.010000000000000231,2.37,6.811111111111111,25.055555555555557,0.9926479738557875,2.799999999999997,True,1,Rowing segment,0.2897812406353011,0.23898199875853504,0.10865290068829891,False,False,0.0,0.0,0.0,45.67354965585054,0.0,6.9
10,25.5,69.8,3.23,22.5,8.5,2.6666666666666665,0.029999999999999805,2.4560000000000004,6.9799999999999995,24.8,0.9745905123007647,2.6000000000000014,True,1,Rowing segment,0.2640095894516031,0.2201117318435754,0.09734513274336279,False,False,0.0,0.0,0.0,51.32743362831861,0.0,7.7
11,28.3,78.7,3.2,21.0,8.9,2.857142857142857,-0.029999999999999805,2.721,7.720000000000001,24.35,0.7277736217014495,2.8000000000000007,True,1,Rowing segment,0.18459694336230137,0.13743016759776522,0.07743362831858407,False,False,0.0,7.701528318849293,31.284916201117337,61.28318584070798,0.0,22.8
12,30.9,87.1,3.18,22.0,8.4,2.727272727272727,-0.020000000000000018,2.9240000000000004,8.459999999999999,21.5,0.48275137378249794,2.599999999999998,True,1,Rowing segment,0.12376385975427012,0.05474860335195533,0.04867256637168148,False,False,0.0,38.118070122864886,72.62569832402232,75.66371681415927,0.0,50.1
13,33.7,96.0,3.19,23.0,8.9,2.608695652173913,0.009999999999999787,3.062,8.7,21.8,0.28611574969271164,2.8000000000000043,True,1,Rowing segment,0.08240934971531313,0.02793296089385475,0.0353982300884956,False,False,0.0,58.79532514234342,86.03351955307258,82.3008849557522,0.0,63.0
14,36.5,105.0,3.23,21.0,9.0,2.857142857142857,0.040000000000000036,3.1529999999999996,8.77,21.9,0.12092697520955999,2.799999999999997,True,1,Rowing segment,0.05513934671860958,0.020111731843575387,0.030973451327433753,False,False,0.0,72.4303266406952,89.94413407821227,84.51327433628313,21.86564405416973,72.8
